sum1,sum2,count,probability
2,3,58,0.044753
2,4,64,0.049383
2,5,70,0.054012
2,6,76,0.058642
2,7,82,0.063272
2,8,30,0.023148
2,9,24,0.018519
2,10,18,0.013889
2,11,12,0.009259
2,12,6,0.004630
3,4,154,0.118827
3,5,192,0.148148
3,6,204,0.157407
3,7,216,0.166667
3,8,144,0.111111
3,9,48,0.037037
3,10,36,0.027778
3,11,24,0.018519
3,12,12,0.009259
4,5,250,0.192901
4,6,254,0.195988
4,7,298,0.229938
4,8,220,0.169753
4,9,156,0.120370
4,10,54,0.041667
4,11,36,0.027778
4,12,18,0.013889
5,6,358,0.276235
5,7,408,0.314815
5,8,310,0.239198
5,9,264,0.203704
5,10,156,0.120370
5,11,48,0.037037
5,12,24,0.018519
6,7,478,0.368827
6,8,386,0.297840
6,9,310,0.239198
6,10,220,0.169753
6,11,144,0.111111
6,12,30,0.023148
7,8,478,0.368827
7,9,408,0.314815
7,10,298,0.229938
7,11,216,0.166667
7,12,82,0.063272
8,9,358,0.276235
8,10,254,0.195988
8,11,204,0.157407
8,12,76,0.058642
9,10,250,0.192901
9,11,192,0.148148
9,12,70,0.054012
10,11,154,0.118827
10,12,64,0.049383
11,12,58,0.044753
