sum1,sum2,sum3,count,probability
2,3,4,18,0.013889
2,3,5,24,0.018519
2,3,6,24,0.018519
2,3,7,24,0.018519
2,3,8,12,0.009259
2,3,9,0,0.000000
2,3,10,0,0.000000
2,3,11,0,0.000000
2,3,12,0,0.000000
2,4,5,24,0.018519
2,4,6,18,0.013889
2,4,7,24,0.018519
2,4,8,12,0.009259
2,4,9,12,0.009259
2,4,10,0,0.000000
2,4,11,0,0.000000
2,4,12,0,0.000000
2,5,6,24,0.018519
2,5,7,24,0.018519
2,5,8,6,0.004630
2,5,9,12,0.009259
2,5,10,12,0.009259
2,5,11,0,0.000000
2,5,12,0,0.000000
2,6,7,24,0.018519
2,6,8,12,0.009259
2,6,9,12,0.009259
2,6,10,6,0.004630
2,6,11,12,0.009259
2,6,12,0,0.000000
2,7,8,12,0.009259
2,7,9,12,0.009259
2,7,10,12,0.009259
2,7,11,12,0.009259
2,7,12,6,0.004630
2,8,9,0,0.000000
2,8,10,0,0.000000
2,8,11,0,0.000000
2,8,12,0,0.000000
2,9,10,0,0.000000
2,9,11,0,0.000000
2,9,12,0,0.000000
2,10,11,0,0.000000
2,10,12,0,0.000000
2,11,12,0,0.000000
3,4,5,120,0.092593
3,4,6,84,0.064815
3,4,7,96,0.074074
3,4,8,60,0.046296
3,4,9,24,0.018519
3,4,10,0,0.000000
3,4,11,0,0.000000
3,4,12,0,0.000000
3,5,6,144,0.111111
3,5,7,120,0.092593
3,5,8,84,0.064815
3,5,9,48,0.037037
3,5,10,24,0.018519
3,5,11,0,0.000000
3,5,12,0,0.000000
3,6,7,156,0.120370
3,6,8,84,0.064815
3,6,9,24,0.018519
3,6,10,36,0.027778
3,6,11,24,0.018519
3,6,12,0,0.000000
3,7,8,132,0.101852
3,7,9,48,0.037037
3,7,10,36,0.027778
3,7,11,24,0.018519
3,7,12,12,0.009259
3,8,9,24,0.018519
3,8,10,24,0.018519
3,8,11,24,0.018519
3,8,12,12,0.009259
3,9,10,0,0.000000
3,9,11,0,0.000000
3,9,12,0,0.000000
3,10,11,0,0.000000
3,10,12,0,0.000000
3,11,12,0,0.000000
4,5,6,126,0.097222
4,5,7,180,0.138889
4,5,8,108,0.083333
4,5,9,84,0.064815
4,5,10,24,0.018519
4,5,11,0,0.000000
4,5,12,0,0.000000
4,6,7,156,0.120370
4,6,8,126,0.097222
4,6,9,72,0.055556
4,6,10,24,0.018519
4,6,11,24,0.018519
4,6,12,0,0.000000
4,7,8,144,0.111111
4,7,9,144,0.111111
4,7,10,30,0.023148
4,7,11,36,0.027778
4,7,12,12,0.009259
4,8,9,84,0.064815
4,8,10,24,0.018519
4,8,11,36,0.027778
4,8,12,6,0.004630
4,9,10,24,0.018519
4,9,11,24,0.018519
4,9,12,12,0.009259
4,10,11,0,0.000000
4,10,12,0,0.000000
4,11,12,0,0.000000
5,6,7,252,0.194444
5,6,8,180,0.138889
5,6,9,168,0.129630
5,6,10,84,0.064815
5,6,11,24,0.018519
5,6,12,0,0.000000
5,7,8,240,0.185185
5,7,9,192,0.148148
5,7,10,144,0.111111
5,7,11,48,0.037037
5,7,12,12,0.009259
5,8,9,168,0.129630
5,8,10,72,0.055556
5,8,11,24,0.018519
5,8,12,12,0.009259
5,9,10,84,0.064815
5,9,11,48,0.037037
5,9,12,12,0.009259
5,10,11,24,0.018519
5,10,12,12,0.009259
5,11,12,0,0.000000
6,7,8,246,0.189815
6,7,9,240,0.185185
6,7,10,144,0.111111
6,7,11,132,0.101852
6,7,12,12,0.009259
6,8,9,180,0.138889
6,8,10,126,0.097222
6,8,11,84,0.064815
6,8,12,12,0.009259
6,9,10,108,0.083333
6,9,11,84,0.064815
6,9,12,6,0.004630
6,10,11,60,0.046296
6,10,12,12,0.009259
6,11,12,12,0.009259
7,8,9,252,0.194444
7,8,10,156,0.120370
7,8,11,156,0.120370
7,8,12,24,0.018519
7,9,10,180,0.138889
7,9,11,120,0.092593
7,9,12,24,0.018519
7,10,11,96,0.074074
7,10,12,24,0.018519
7,11,12,24,0.018519
8,9,10,126,0.097222
8,9,11,144,0.111111
8,9,12,24,0.018519
8,10,11,84,0.064815
8,10,12,18,0.013889
8,11,12,24,0.018519
9,10,11,120,0.092593
9,10,12,24,0.018519
9,11,12,24,0.018519
10,11,12,18,0.013889
